meter,start_time,end_time,energy_consumption,mean_power,min_power,max_power,stddev_power,median_power
A,2019-01-02T11:50:55.000Z,2019-01-02T11:20:22.000Z,-6011985.0,1.2278812910468707E7,5238000.0,3.014136E8,5856921.414430419,1.23948E7
A,2019-01-02T13:39:30.000Z,2019-01-02T13:13:20.000Z,-4890515.0,1.2871822012229016E7,7228800.0,2.86992E7,2368334.7272290774,1.32264E7
B,2019-01-03T12:25:52.000Z,2019-01-03T12:42:01.000Z,3307201.0,1.2839605557099193E7,2502000.0,2.55564E7,3581084.5272545707,1.35432E7
C,2019-01-05T20:12:38.000Z,2019-01-05T20:04:36.000Z,461.0,-5226.45179216449,-10800.0,0.0,2626.637068041798,-3600.0
A,2019-01-04T15:19:39.000Z,2019-01-04T15:21:56.000Z,496259.0,1.114630038910506E7,3801600.0,2.39724E7,2645438.481252721,1.12968E7
B,2019-01-04T15:16:07.000Z,2019-01-04T15:18:45.000Z,519475.0,1.1268113062812673E7,4856400.0,2.73636E7,3009249.340153883,1.14156E7
C,2019-01-05T21:57:32.000Z,2019-01-05T21:42:32.000Z,975.0,-5014.0,-7200.0,0.0,2418.7246771033674,-3600.0
A,2019-01-03T16:29:01.000Z,2019-01-03T16:00:45.000Z,-5983423.0,1.1696840122256182E7,7005600.0,2.38356E7,2861668.732781175,1.15524E7
B,2019-01-04T06:59:53.000Z,2019-01-04T06:24:30.000Z,-7480445.0,1.2501108530147264E7,2404800.0,2.64852E7,3404909.249449899,1.27008E7
C,2019-01-02T18:27:40.000Z,2019-01-02T18:19:51.000Z,774.0,1502390.9924937447,-7200.0,2.78496E7,4148656.448889066,-7200.0
C,2019-01-03T21:02:02.000Z,2019-01-03T21:04:42.000Z,-154.0,23397.499305362602,-7200.0,9216000.0,373494.91219067725,-3600.0
C,2019-01-05T19:28:35.000Z,2019-01-05T19:31:30.000Z,-316.0,-5825.618227285357,-7200.0,0.0,1773.7382286863422,-7200.0
B,2019-01-01T13:55:23.000Z,2019-01-01T13:55:01.000Z,-90833.0,1.2238623617671575E7,6195600.0,1.65312E7,2825245.5196222807,1.26612E7
C,2019-01-04T16:10:03.000Z,2019-01-04T16:33:56.000Z,4285684.0,8634038.34398444,1461600.0,1.37304E7,2706131.564153768,7768800.0
A,2019-01-01T00:20:08.000Z,2019-01-01T00:23:11.000Z,24242.0,973155.6420233463,468000.0,2487600.0,650588.8631007979,478800.0
A,2019-01-02T07:48:36.000Z,2019-01-02T07:02:11.000Z,-9719424.0,1.323845834954154E7,6238800.0,2.62404E7,2886244.5707331053,1.4148E7
A,2019-01-03T08:45:30.000Z,2019-01-03T08:58:24.000Z,2645428.0,1.338751675465407E7,460800.0,2.60208E7,4576946.216514451,1.50336E7
B,2019-01-03T19:49:18.000Z,2019-01-03T19:45:25.000Z,-64801.0,1563068.1856071132,986400.0,9900000.0,1058337.6914668286,1015200.0
